MinTemp,MaxTemp,Rainfall,Sunshine,WindGustSpeed,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,Temp3pm,Rain Today,Rain Tomorrow
-3.1,12.9,0.0,4.574587584385685,52.0,99.0,52.0,8.0,5.0,12.0,0,0
6.7,22.7,0.0,7.759086009817136,28.0,68.0,40.0,3.0,3.0,22.0,0,0
16.0,28.6,0.0,10.5,15.0,71.0,38.0,1.0,1.0,27.9,0,0
13.4,27.2,0.0,10.3,31.0,65.0,35.0,3.0,1.0,25.8,0,0
17.2,33.0,0.0,10.2,33.0,95.0,44.0,4.0,4.0,31.7,0,0
6.2,21.0,0.0,8.4,63.0,59.0,38.0,1.0,1.0,20.3,0,0
14.7,27.2,0.0,9.7,50.0,48.0,47.0,4.0,5.0,25.8,0,0
21.5,35.2,0.0,9.4,33.0,45.0,29.0,3.0,3.0,32.8,0,0
11.9,22.9,0.0,9.761348900898469,28.0,60.0,60.0,4.0,4.0,21.5,0,0
6.4,14.5,0.2,6.2,30.0,87.0,74.0,8.0,6.0,12.0,0,0
17.6,37.4,0.0,9.978442532060274,37.0,25.0,11.0,2.0,2.0,34.6,0,0
9.2,25.0,0.0,5.983180542495748,26.0,63.0,40.0,3.0,3.0,24.7,0,0
14.7,31.7,0.0,10.977258029451407,39.0,21.0,12.0,0.0,1.0,31.1,0,0
7.4,14.6,4.6,9.6,35.0,86.0,65.0,3.0,3.0,13.1,1,0
1.7,14.5,0.0,6.3,20.0,99.0,56.0,8.0,2.0,13.5,0,0
17.4,27.4,0.0,10.6,17.0,63.0,59.0,1.0,3.0,25.3,0,0
22.5,32.0,29.8,3.8,37.0,90.0,58.0,7.0,6.0,31.1,1,0
-0.9,9.1,0.2,10.17542869648482,46.0,42.0,60.0,2.0,4.0,5.8,0,0
15.3,27.7,0.0,10.977258029451407,35.0,68.0,42.0,8.0,1.0,26.9,0,0
4.2,20.2,0.0,6.981996039886879,33.0,77.0,53.0,5.0,5.0,19.0,0,0
21.4,26.3,0.0,8.9,37.0,79.0,76.0,2.0,3.0,24.8,0,0
12.5,33.1,0.0,11.126286089454464,59.0,30.0,12.0,0.0,1.0,31.5,0,0
6.8,12.3,4.6,3.9855495477134832,26.0,100.0,73.0,7.0,8.0,11.6,1,0
20.4,34.0,0.0,7.0,74.0,55.0,31.0,7.0,6.0,31.6,0,0
5.9,26.5,0.0,6.316119041626124,43.0,67.0,26.0,2.0,3.0,25.9,0,0
21.5,28.5,34.0,8.669399150053671,43.0,73.0,70.0,3.0,4.0,26.6,1,0
13.6,21.0,0.0,6.485499648364079,39.0,62.0,73.0,5.0,6.0,18.8,0,0
8.0,29.2,0.0,12.9,41.0,63.0,23.0,1.0,1.0,27.1,0,0
6.1,13.6,3.0,0.4,30.0,90.0,65.0,8.0,7.0,13.3,1,0
6.6,10.8,0.0,6.2,24.0,74.0,65.0,8.0,6.0,10.1,0,0
16.8,32.3,0.0,13.0,43.0,34.0,44.0,0.0,1.0,29.8,0,0
3.8,12.9,1.4,4.984365045104616,33.0,91.0,60.0,8.0,7.0,12.4,1,0
12.2,22.5,0.0,13.2,43.0,50.0,37.0,1.0,1.0,22.0,0,0
19.2,28.4,12.8,10.853298651743264,50.0,73.0,82.0,7.0,7.0,23.0,1,0
-2.4,17.2,0.0,7.6,44.0,78.0,38.0,4.0,2.0,14.3,0,0
11.5,16.5,0.6,3.9855495477134832,48.0,78.0,65.0,3.0,8.0,14.0,0,0
14.5,17.4,0.4,8.94238658776487,44.0,92.0,87.0,7.0,7.0,16.3,0,0
-0.7,13.7,0.0,6.981996039886879,15.0,95.0,57.0,8.0,5.0,12.3,0,0
9.6,22.4,0.0,12.6,43.0,52.0,36.0,2.0,7.0,21.4,0,0
19.7,32.3,0.0,9.4,43.0,10.0,5.0,6.0,3.0,30.8,0,0
3.1,14.0,0.0,8.6,41.0,81.0,52.0,1.0,1.0,13.6,0,0
21.3,30.4,9.8,9.8,43.0,89.0,44.0,7.0,1.0,28.7,1,0
17.2,23.0,28.4,5.3,65.0,73.0,58.0,5.0,6.0,21.7,1,0
11.4,32.2,0.0,10.035699208910826,26.0,38.0,23.0,3.0,3.0,31.9,0,0
22.5,34.2,0.0,10.8,33.0,51.0,31.0,3.0,2.0,32.4,0,0
4.5,8.6,0.0,4.574587584385685,67.0,97.0,96.0,8.0,8.0,6.9,0,0
9.6,22.1,2.2,9.358195861461896,33.0,66.0,29.0,3.0,3.0,20.9,1,0
10.0,21.2,0.0,6.316119041626124,26.0,79.5,70.0,8.0,7.0,18.3,0,0
12.3,27.0,0.0,12.2,30.0,47.0,38.0,1.0,1.0,26.4,0,0
5.4,18.9,0.0,10.977258029451407,24.0,79.0,45.0,1.0,1.0,18.5,0,0
18.4,32.0,0.0,6.981996039886879,43.0,52.0,37.0,3.0,5.0,30.3,0,0
22.6,27.6,11.2,7.511280551241324,28.0,100.0,68.0,7.0,6.0,26.6,1,0
9.0,22.2,0.0,9.552586871080312,39.0,62.0,61.0,5.0,5.0,21.2,0,0
19.9,27.1,1.8,7.031474523786477,70.0,86.0,32.0,5.0,5.0,24.8,1,0
13.9,20.7,0.0,3.6,30.0,78.0,51.0,7.0,5.0,19.3,0,0
4.6,18.2,0.0,8.669399150053671,30.0,76.0,43.0,3.0,3.0,17.4,0,0
17.6,25.3,0.0,9.6,31.0,61.0,65.0,1.0,7.0,23.3,0,0
18.5,33.4,0.2,9.250857392969642,43.0,95.0,46.0,6.0,5.0,32.3,0,0
-0.5,20.0,0.0,5.377057069552749,13.0,97.0,48.0,4.0,4.0,18.8,0,0
6.6,24.2,0.0,10.30157620717158,28.0,73.0,48.0,4.0,4.0,23.9,0,0
15.4,24.3,25.8,10.1,31.0,97.0,64.0,3.0,2.0,23.0,1,0
13.9,27.1,0.0,10.1,39.0,61.0,64.0,1.0,1.0,24.3,0,0
15.6,25.9,9.8,10.0,44.0,94.0,37.0,3.0,3.0,25.3,1,0
1.0,16.5,0.0,7.487997359924587,15.0,94.0,58.0,6.0,5.0,16.2,0,0
21.0,40.6,0.0,10.0,48.0,28.0,12.0,1.0,2.0,38.9,0,0
1.2,9.0,0.0,5.9,30.0,89.0,66.0,8.0,7.0,8.4,0,0
18.1,28.6,0.0,7.4,43.0,87.0,76.0,8.0,1.0,23.6,0,0
14.6,33.6,0.8,13.6,74.0,47.0,24.0,0.0,1.0,31.3,0,0
9.2,20.4,6.8,5.983180542495748,35.0,75.0,49.0,4.0,4.0,19.1,1,0
22.7,26.6,0.0,0.0,24.0,70.0,70.0,7.0,8.0,24.9,0,0
6.5,16.0,0.4,9.386812857315718,46.0,61.0,45.0,4.0,4.0,13.1,0,0
26.4,33.6,0.0,9.2,59.0,75.0,66.0,2.0,2.0,32.7,0,0
11.9,23.8,0.0,9.5,22.0,43.0,24.0,0.0,3.0,23.0,0,0
12.8,23.7,0.0,8.9,15.0,63.0,42.0,5.0,4.0,23.0,0,0
22.7,31.9,0.0,9.4,37.0,59.0,50.0,5.0,1.0,29.5,0,0
14.3,23.4,12.8,6.84540355298057,28.0,79.0,53.0,4.0,4.0,22.1,1,0
17.2,34.6,0.0,10.977258029451407,46.0,40.0,21.0,3.0,1.0,33.4,0,0
8.1,26.8,0.0,10.1,33.0,53.0,25.0,0.0,0.0,26.2,0,0
13.9,30.6,0.0,10.6,24.0,48.0,28.0,0.0,0.0,28.4,0,0
10.8,18.4,1.6,5.093970453568851,28.0,70.0,59.0,5.0,5.0,17.4,1,0
17.2,28.0,0.0,6.128121681701539,44.0,72.0,56.0,4.0,4.0,26.5,0,0
17.8,30.0,0.0,11.0,37.0,45.0,33.0,0.0,0.0,28.9,0,0
12.8,21.1,10.8,0.0,26.0,90.0,67.0,8.0,8.0,18.3,1,0
18.3,24.5,0.0,9.4,54.0,61.0,57.0,3.0,2.0,23.4,0,0
15.9,21.1,0.0,9.9,45.2,52.0,56.0,7.0,2.0,19.9,0,0
15.7,29.5,2.2,12.2,31.0,71.0,47.0,6.0,1.0,27.9,1,0
2.3,17.5,0.0,6.895079572981588,30.0,92.0,70.0,6.0,6.0,16.2,0,0
5.2,24.9,0.0,10.977258029451407,35.6,72.0,30.0,2.0,1.0,23.9,0,0
13.3,17.8,1.0,9.3,52.0,65.0,48.0,7.0,3.0,17.2,0,0
10.1,16.9,0.2,2.1,32.3,87.0,61.0,6.0,7.0,16.0,0,0
20.9,39.2,0.0,9.6,52.0,61.0,24.0,5.0,5.0,37.6,0,0
14.0,19.0,0.2,5.983180542495747,23.1,89.0,53.0,8.0,6.0,17.6,0,0
8.3,20.8,0.0,9.48836146318727,46.0,56.0,36.0,2.0,3.0,20.1,0,0
7.7,12.9,0.0,0.2,43.0,68.0,60.0,7.0,7.0,12.6,0,0
3.3,19.1,0.0,7.654664026591253,39.0,80.0,43.0,5.0,4.0,17.9,0,0
10.6,26.4,0.0,9.6,41.0,92.0,55.0,5.0,3.0,25.4,0,0
9.4,20.2,0.0,8.733333333333333,28.0,50.0,39.0,3.0,3.0,20.1,0,0
20.4,25.2,0.4,3.9855495477134832,39.0,62.0,76.0,7.0,8.0,23.0,0,0
7.0,18.0,0.8,8.2,23.4,100.0,74.0,2.0,5.0,16.5,0,0
20.6,30.2,0.0,10.9,24.0,67.0,62.0,1.0,2.0,29.3,0,0
16.1,19.3,0.0,8.9,56.0,56.0,59.0,2.0,7.0,17.7,0,0
1.7,16.3,0.0,8.593998679962294,19.0,75.0,62.0,5.0,5.0,14.6,0,0
11.3,23.9,0.0,9.3,44.0,61.0,34.0,7.0,1.0,23.3,0,0
14.0,31.0,0.0,3.9855495477134832,52.0,75.0,35.0,5.0,8.0,28.3,0,0
-1.5,20.2,0.0,10.307323776320866,41.0,73.0,33.0,1.0,2.0,19.1,0,0
13.2,21.5,0.6,6.286317543163434,39.0,65.0,71.0,4.0,5.0,21.0,0,0
16.3,27.2,0.0,11.7,31.0,52.0,49.0,6.0,1.0,25.1,0,0
12.3,17.0,1.0,1.8,34.3,87.0,87.0,6.0,7.0,15.0,0,0
11.2,24.1,0.6,11.026934049452429,24.0,83.0,48.0,6.0,5.0,22.6,0,0
13.3,36.3,0.0,10.853298651743264,43.0,74.0,7.0,5.0,4.0,34.8,0,0
3.4,14.8,0.4,4.574587584385685,37.0,88.0,48.0,8.0,5.0,14.4,0,0
9.6,20.6,0.0,3.9855495477134832,31.0,99.0,55.0,8.0,8.0,19.2,0,0
18.0,27.1,0.2,9.029303054670164,26.0,60.0,67.0,5.0,5.0,24.7,0,0
21.2,30.3,0.0,7.89518318257116,37.0,63.0,61.0,4.0,4.0,29.2,0,0
13.7,42.7,0.0,12.4,59.0,36.0,9.0,2.0,2.0,40.6,0,0
8.7,27.1,0.0,10.0,31.0,69.0,37.0,3.0,3.0,25.9,0,0
14.9,28.4,0.0,1.4,48.0,66.0,39.0,7.0,7.0,26.5,0,0
6.4,19.0,0.0,9.5,44.0,71.0,42.0,0.0,3.0,18.2,0,0
21.0,29.6,2.6,9.978442532060274,23.1,86.0,70.0,7.0,2.0,28.0,1,0
6.6,19.7,0.0,10.6,43.0,56.0,25.0,0.0,0.0,18.7,0,0
-1.2,15.0,0.2,6.733624557946716,15.0,85.0,52.0,5.0,5.0,14.7,0,0
3.6,12.9,0.0,6.5,35.0,87.0,72.0,6.0,6.0,12.3,0,0
14.8,33.2,0.0,11.1,52.0,43.0,12.0,2.0,1.0,29.8,0,0
-0.3,11.7,0.0,3.9855495477134832,44.0,92.0,73.0,3.0,8.0,10.4,0,0
5.8,18.8,0.0,12.1,33.0,66.0,56.0,7.0,1.0,17.8,0,0
16.0,28.3,0.0,8.7,39.0,47.0,42.0,0.0,0.0,26.4,0,0
15.9,26.8,0.0,9.9,41.0,53.0,58.0,2.0,4.0,23.3,0,0
1.9,21.0,0.0,9.2,26.0,89.0,38.0,7.0,3.0,20.3,0,0
13.5,23.4,0.0,9.2,35.0,46.0,41.0,3.0,3.0,21.5,0,0
18.0,33.8,0.0,11.126286089454464,35.0,72.0,45.9,0.0,1.0,32.0,0,0
15.2,27.5,0.0,4.984365045104616,24.7,85.0,65.0,8.0,7.0,24.0,0,0
21.5,28.9,23.2,5.5900934458447695,44.0,79.0,74.0,6.0,6.0,27.4,1,0
15.0,20.6,0.0,12.2,33.0,65.0,62.0,2.0,1.0,19.2,0,0
19.2,36.8,0.0,9.819751356446096,50.0,46.0,29.0,2.0,3.0,35.2,0,0
12.3,30.4,0.0,11.8,43.0,62.0,20.0,2.0,3.0,28.4,0,0
17.0,26.5,0.0,6.8,33.0,66.0,64.0,3.0,7.0,24.5,0,0
9.6,14.5,1.8,2.9,30.0,95.0,72.0,8.0,7.0,12.4,1,0
14.8,26.0,2.0,7.031474523786477,43.0,89.0,64.0,5.0,5.0,23.9,1,0
5.6,15.8,0.0,7.6,43.2,59.0,33.0,6.0,7.0,15.3,0,0
23.8,33.7,0.0,11.1,33.0,64.0,48.0,4.0,1.0,32.6,0,0
12.7,16.7,7.4,3.6,29.1,97.0,67.0,8.0,5.0,15.3,1,0
11.6,21.8,0.0,9.978442532060274,48.0,69.0,43.0,7.0,2.0,21.6,0,0
-3.4,13.2,0.0,5.983180542495747,26.0,72.3,46.0,1.0,6.0,12.7,0,0
4.9,14.8,0.0,4.2,26.0,78.0,58.0,5.0,7.0,14.3,0,0
23.3,29.4,0.0,7.304461961497676,31.0,82.0,83.0,7.0,7.0,27.1,0,0
8.6,15.6,4.0,9.661922102793712,43.6,64.0,51.0,4.0,4.0,11.7,1,0
13.1,25.7,0.2,10.3,37.0,67.0,53.0,7.0,7.0,23.7,0,0
17.8,21.9,0.8,0.6,50.0,57.0,50.0,7.0,7.0,21.0,0,0
10.7,24.4,0.4,5.2,46.0,85.0,69.0,2.0,7.0,21.3,0,0
10.7,19.6,1.6,8.345328794877853,30.0,58.0,49.0,4.0,4.0,18.6,1,0
10.2,17.0,0.0,5.266666666666667,46.0,79.0,67.0,6.0,6.0,15.4,0,0
16.9,29.7,0.0,10.0,28.0,66.0,52.0,1.0,1.0,28.2,0,0
15.3,21.6,1.4,8.6,44.0,87.0,45.0,4.0,4.0,20.6,1,0
14.4,25.9,0.0,7.850436836920075,61.0,55.0,20.0,4.0,4.0,24.1,0,0
20.6,24.2,0.8,3.7922434800050095,37.0,93.0,83.0,8.0,8.0,22.8,0,0
11.3,24.1,0.0,11.97607352684254,33.0,37.0,21.0,0.0,0.0,23.8,0,0
25.5,39.0,0.0,11.126286089454464,30.0,72.0,45.9,0.0,1.0,36.9,0,0
5.6,17.1,0.0,5.983180542495747,39.0,82.0,48.0,7.0,6.0,15.1,0,0
9.1,22.7,0.0,9.1,57.0,43.0,61.0,3.0,7.0,18.9,0,0
6.0,24.3,0.0,8.313750036408388,28.0,67.0,36.0,3.0,3.0,22.8,0,0
-5.1,-0.1,0.0,7.304461961497676,43.0,98.0,96.0,8.0,8.0,-1.3,0,0
12.0,29.9,0.0,8.7,35.0,40.0,28.0,7.0,7.0,29.1,0,0
14.0,27.7,0.2,9.6,33.0,72.0,61.0,0.0,1.0,24.6,0,0
18.6,32.7,0.0,11.1,39.0,69.0,40.0,1.0,1.0,30.9,0,0
13.7,25.0,0.6,12.0,59.0,55.0,44.0,3.0,1.0,22.9,0,0
15.0,23.4,3.2,4.847772558198305,30.0,97.0,82.0,7.0,7.0,22.5,1,0
3.3,18.5,0.0,10.6,50.0,60.0,37.0,1.0,1.0,17.7,0,0
8.6,14.0,0.8,6.86231693699667,35.0,64.0,53.0,4.0,4.0,13.0,0,0
16.1,28.9,0.0,10.9,46.0,45.0,21.0,1.0,2.0,28.2,0,0
16.5,29.8,0.0,11.4,46.0,58.0,35.0,5.0,5.0,28.1,0,0
7.2,20.9,0.0,10.3,48.0,36.0,26.0,0.0,0.0,20.4,0,0
7.3,28.1,0.0,9.978442532060274,39.0,48.0,15.0,5.0,2.0,27.3,0,0
17.1,24.3,0.0,7.850436836920075,41.1,65.0,70.0,4.0,5.0,22.0,0,0
1.7,12.6,3.0,9.116021985474031,26.0,93.0,44.0,1.0,2.0,12.0,1,0
16.2,28.0,0.2,4.574587584385685,30.0,83.0,64.0,8.0,6.0,23.4,0,0
8.7,16.7,0.0,8.423377117828585,22.0,68.0,46.0,3.0,3.0,16.0,0,0
2.2,15.8,0.3,5.4,41.0,79.0,88.0,2.0,6.0,13.5,0,0
10.8,26.5,0.0,9.1,22.0,39.0,36.0,6.0,3.0,25.1,0,0
10.0,21.4,0.0,8.4,67.0,42.0,36.0,3.0,5.0,20.3,0,0
11.1,25.1,0.0,11.061527268590758,26.0,66.0,27.0,3.0,3.0,23.7,0,0
25.1,38.1,0.0,10.9,44.0,49.0,30.0,8.0,1.0,36.5,0,0
10.4,19.6,5.6,5.6,24.0,86.0,62.0,6.0,6.0,17.7,1,0
5.7,16.1,0.0,5.5,28.0,89.0,56.0,7.0,1.0,15.2,0,0
23.3,38.1,0.2,11.208762029818155,41.0,65.0,23.0,2.0,3.0,37.1,0,0
16.3,20.9,0.0,9.9,46.0,65.0,68.0,7.0,2.0,20.0,0,0
3.3,15.4,0.0,8.6,28.0,94.0,53.0,1.0,4.0,14.7,0,0
13.8,24.2,0.0,1.8,33.0,73.0,72.0,7.0,8.0,20.2,0,0
25.4,30.3,0.6,0.7,30.0,87.0,82.0,7.0,8.0,28.0,0,0
9.4,20.7,8.2,6.1,52.0,69.0,60.0,4.0,7.0,18.7,1,0
13.7,28.0,0.0,6.6,26.0,75.0,39.0,6.0,7.0,26.5,0,0
8.8,21.6,0.0,8.3,26.0,42.0,38.0,1.0,7.0,19.0,0,0
10.2,16.7,17.4,6.9,69.0,100.0,64.0,8.0,5.0,15.0,1,0
5.0,26.1,0.0,10.8,35.0,42.0,21.0,0.0,3.0,25.5,0,0
13.8,30.6,0.0,7.304461961497676,28.0,87.0,41.0,4.0,4.0,28.9,0,0
24.2,31.8,0.0,10.9,28.0,69.0,67.0,8.0,8.0,30.5,0,0
20.2,42.2,0.0,12.8,45.7,37.0,10.0,1.0,2.0,41.8,0,0
17.3,20.4,0.0,3.8333333333333335,41.0,78.0,70.0,6.0,6.0,18.7,0,0
16.1,26.1,0.2,3.5,30.0,77.0,48.0,7.0,7.0,24.5,0,0
12.0,17.1,11.4,6.4,44.0,95.0,56.0,5.0,6.0,15.5,1,0
16.2,25.4,0.0,8.1,39.0,67.0,59.0,4.0,4.0,23.7,0,0
1.0,12.6,0.2,4.984365045104616,33.0,85.0,54.0,5.0,7.0,11.4,0,0
22.0,37.4,0.0,6.981996039886879,35.0,17.0,21.0,6.0,5.0,36.1,0,0
14.2,21.4,0.0,7.091623121307076,43.0,56.0,33.0,4.0,4.0,20.8,0,0
15.3,28.9,0.0,11.9,48.0,53.0,33.0,3.0,2.0,27.5,0,0
15.3,21.8,0.0,8.144536621925111,52.0,74.0,81.0,6.0,6.0,17.8,0,0
18.5,26.4,0.0,11.093603845759338,44.0,67.0,62.0,5.0,5.0,23.8,0,0
19.3,31.4,0.0,11.3,37.2,84.0,92.0,2.0,4.0,23.5,0,0
10.2,21.5,0.0,7.99224097545818,44.0,50.0,36.0,4.0,4.0,20.4,0,0
0.9,24.9,0.0,10.204882517547242,30.0,70.0,29.0,4.0,4.0,24.5,0,0
8.4,19.7,0.0,8.979627034669143,27.5,66.0,49.0,0.0,3.0,17.4,0,0
9.2,16.7,0.6,8.8,30.6,79.0,79.0,6.0,5.0,12.8,0,0
7.5,26.2,0.0,10.7,35.0,64.0,20.0,1.0,3.0,24.3,0,0
15.0,34.6,0.0,11.942095363151488,39.0,49.0,11.0,3.0,3.0,32.7,0,0
6.7,17.0,0.0,6.4,28.0,55.0,39.0,0.0,6.0,15.4,0,0
13.1,16.6,0.0,2.8,39.0,61.0,61.0,7.0,7.0,15.8,0,0
15.2,35.0,0.0,6.649057540756502,28.0,63.0,28.0,2.0,3.0,32.9,0,0
14.0,25.7,0.0,11.97607352684254,22.8,72.0,63.0,2.0,0.0,24.5,0,0
16.3,19.4,1.2,0.2,50.0,91.0,77.0,7.0,7.0,16.1,1,0
17.0,31.4,0.0,12.9,63.0,43.0,32.0,1.0,3.0,30.1,0,0
11.9,30.3,0.0,5.393549897519282,31.0,39.0,17.0,7.0,6.0,29.2,0,0
-4.2,4.1,0.0,11.409548568583824,46.0,24.0,50.0,4.0,4.0,3.5,0,0
19.7,35.8,0.0,7.822120361663831,33.0,54.0,30.0,3.0,3.0,34.0,0,0
21.8,41.4,0.0,5.983180542495747,43.0,19.0,12.0,1.0,6.0,39.9,0,0
24.9,30.7,5.4,5.4,46.0,71.0,65.0,3.0,5.0,30.1,1,0
9.9,21.2,0.0,6.1,31.0,56.0,29.0,3.0,5.0,20.7,0,0
7.7,17.3,0.0,3.1,43.0,66.0,49.0,7.0,7.0,15.6,0,0
-7.0,10.5,0.0,9.16569800547505,28.0,84.0,37.0,6.0,5.0,9.6,0,0
8.5,23.8,0.0,7.9808115372780115,30.0,83.0,49.0,4.0,4.0,22.4,0,0
14.7,17.5,0.6,7.2,56.0,67.0,65.0,7.0,7.0,16.6,0,0
10.9,22.5,0.0,9.21537402547607,31.0,86.0,59.0,6.0,5.0,21.2,0,0
14.7,28.2,0.0,5.983180542495747,56.0,31.0,34.0,6.0,6.0,27.4,0,0
10.9,19.3,10.8,4.984365045104616,39.0,75.0,66.0,7.0,7.0,16.8,1,0
14.8,24.5,6.9,6.981996039886879,35.9,87.0,53.0,4.0,5.0,23.4,1,0
10.3,17.8,0.4,12.3,33.0,69.0,55.0,7.0,4.0,16.2,0,0
9.1,14.1,1.0,0.9,31.0,95.0,74.0,7.0,7.0,12.9,0,0
14.2,19.3,0.0,4.984365045104616,39.0,53.0,66.0,6.0,7.0,18.1,0,0
10.7,23.2,0.0,8.485920204413647,41.0,48.0,39.0,3.0,3.0,22.1,0,0
19.1,34.3,0.0,6.212512210652879,76.0,81.0,14.0,6.0,4.0,33.6,0,0
12.7,19.1,0.0,11.034514706301955,48.0,60.0,48.0,4.0,4.0,18.0,0,0
23.8,33.4,0.0,10.6,28.0,70.0,46.0,1.0,4.0,32.9,0,0
14.0,23.7,1.8,10.580311214032069,65.0,80.0,36.0,4.0,4.0,22.0,1,0
-0.2,15.2,0.4,6.8,30.0,99.0,55.0,6.0,7.0,14.3,0,0
6.2,21.3,0.0,10.977258029451407,28.0,55.0,34.0,3.0,1.0,21.2,0,0
12.8,21.6,21.4,8.979627034669143,46.0,73.0,49.0,4.0,3.0,21.2,1,0
10.5,24.3,0.0,9.8,19.0,73.0,40.0,0.0,2.0,23.5,0,0
6.8,20.7,4.8,10.977258029451407,33.0,72.0,34.0,0.0,1.0,19.5,1,0
2.4,16.9,0.0,8.979627034669143,19.0,96.0,63.0,4.0,3.0,15.3,0,0
23.4,41.9,0.0,7.9808115372780115,48.0,22.0,13.0,2.0,4.0,39.5,0,0
5.7,11.7,1.4,3.9855495477134832,37.0,96.0,77.0,8.0,8.0,11.4,1,0
14.6,29.4,0.0,13.2,57.0,58.0,8.0,1.0,1.0,28.6,0,0
13.9,27.9,0.0,9.31256553379952,48.0,67.0,47.0,4.0,4.0,24.1,0,0
19.3,29.4,0.0,10.5,52.0,60.0,55.0,3.0,2.0,27.4,0,0
9.2,23.3,0.2,9.978442532060276,26.0,100.0,59.0,6.0,5.0,22.6,0,0
15.8,23.3,1.0,2.4,24.0,79.0,70.0,8.0,5.0,21.1,0,0
14.5,34.8,0.0,11.7,46.0,36.0,10.0,2.0,3.0,34.3,0,0
18.2,32.8,0.0,6.212512210652879,39.0,77.0,59.0,6.0,5.0,31.0,0,0
8.9,23.9,0.0,10.1,22.0,53.0,34.0,0.0,1.0,23.0,0,0
19.8,25.7,16.0,7.314934539017256,67.0,84.0,64.0,6.0,6.0,23.8,1,0
